ability 能力
able 能够的
about 关于
above 在...之上
accept 接受
according to 根据
account 账户；说明
across 穿过；横过
act 行动；表演；法令
action 行动；动作
activity 活动
actually 实际上
add 添加；增加
address 地址；演讲
administration 管理；行政
admit 承认；准许进入
adult 成年人
affect 影响；感动
after 在...之后
again 再次；又
against 反对；对抗
age 年龄；时代
agency 机构；代理
agent 代理人；特工
ago 以前
agree 同意
agreement 协议；一致
ahead 在前；提前
air 空气；空中
all 全部；所有
allow 允许；准许
almost 几乎
alone 单独；独自
along 沿着；一起
already 已经
also 也；而且
although 虽然；尽管
always 总是；一直
American 美国的；美国人
among 在...之中
amount 数量；总额
analysis 分析；分解
and 和；与；而
animal 动物
another 另一个；又一个
answer 回答；答案
any 任何；一些
anyone 任何人
anything 任何事物
appear 出现；显得
apply 申请；应用
approach 方法；接近
area 区域；方面
argue 争论；主张
arm 手臂；武器
around 在...周围；大约
arrive 到达
art 艺术；技艺
article 文章；物品
artist 艺术家
as 作为；像...一样
ask 问；要求
aspect 方面；层面
assume 假设；承担
at 在；向
attack 攻击；抨击
attention 注意；关注
attitude 态度；看法
audience 观众；听众
author 作者；作家
authority 权威；当局
available 可获得的；可用的
avoid 避免；回避
away 离开；远离
baby 婴儿；宝贝
back 背部；回来
bad 坏的；糟糕的
bag 袋子；包
ball 球；舞会
bank 银行；岸
bar 酒吧；棒
base 基础；基地
basic 基本的；基础的
basis 基础；根据
be 是；在
bear 承受；忍受
beat 打败；敲打
beautiful 美丽的
because 因为
become 变成；成为
bed 床
before 在...之前
begin 开始
behavior 行为；举止
behind 在...后面
believe 相信；认为
benefit 好处；利益
best 最好的；最佳地
better 更好的；更好地
between 在...之间
beyond 超过；在...之外
big 大的
bill 账单；法案
billion 十亿
bit 一点；少量
black 黑色的；黑人
blood 血；血液
blue 蓝色的
board 板；董事会
body 身体；主体
book 书；预订
border 边界；边缘
born 出生的
both 两者都
bottle 瓶子
bottom 底部；底
box 盒子；箱子
boy 男孩
break 打破；休息
bring 带来；引起
brother 兄弟
budget 预算
build 建造；建立
